Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Shooter_Game0.1\Shooter_Game0.1.csproj,File,Shooter_Game0.1\Shooter_Game0.1.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Shooter_Game0.1-Tests\Shooter_Game0.1-Tests.csproj,File,Shooter_Game0.1-Tests\Shooter_Game0.1-Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
